,radiant_1,radiant_2,radiant_3,radiant_4,radiant_5,dire_1,dire_2,dire_3,dire_4,dire_5,radiant_win,match_id
214,99,62,48,36,67,5,35,23,42,32,1,3905436775
215,18,26,67,23,48,54,100,2,22,35,1,3905436778
216,41,84,29,17,21,86,106,10,96,110,0,3905436781
217,71,4,101,6,30,28,94,7,21,32,0,3905436782
218,31,1,104,27,14,37,59,18,74,23,0,3905436783
219,26,7,11,1,32,16,96,104,4,35,1,3905436786
220,87,62,103,34,67,114,119,17,36,63,1,3905436791
221,26,62,44,81,35,5,25,18,32,99,1,3905436804
222,11,51,12,35,105,42,48,44,106,100,1,3905436811
223,30,81,97,33,72,36,4,32,17,53,0,3905436813
224,60,7,17,84,44,67,114,29,56,47,0,3905436814
225,85,63,12,22,68,25,7,48,11,86,1,3905436816
226,7,8,6,5,71,114,35,18,21,26,1,3905436819
227,32,48,17,79,21,112,74,69,27,44,1,3905436824
228,11,26,93,48,101,108,41,14,32,34,1,3905436825
229,74,6,103,64,108,14,22,21,87,114,0,3905436847
230,60,51,6,101,35,22,32,44,18,21,0,3905436850
231,101,2,102,114,21,34,58,77,14,20,1,3905436852
232,62,6,28,74,70,76,15,2,32,52,0,3905436853
233,78,4,101,41,14,9,59,67,88,33,1,3905436854
234,90,3,97,72,11,96,85,14,35,21,0,3905436856
235,5,101,88,114,8,52,14,75,93,74,1,3905436857
236,21,90,14,54,26,55,6,27,48,104,0,3905436858
237,60,4,28,84,63,32,7,74,93,42,0,3905436860
238,67,28,88,23,14,93,22,64,32,20,0,3905436862
239,22,35,97,5,54,59,44,6,14,34,0,3905436865
240,74,44,29,5,14,41,35,107,33,21,1,3905436866
241,14,88,81,101,52,21,104,8,46,26,0,3905436869
242,14,76,104,62,48,108,74,5,16,18,1,3905436889
243,22,35,41,99,62,15,71,21,11,73,0,3905436895
244,41,84,21,48,79,25,43,1,26,100,1,3905436897
245,86,99,64,21,72,104,76,52,93,87,1,3905436900
246,69,43,14,79,48,22,85,9,7,44,0,3905436902
247,44,104,86,69,84,8,96,27,119,94,0,3905436903
248,21,76,8,44,64,14,15,74,104,53,0,3905436905
249,47,20,40,89,42,93,96,100,69,74,1,3905436906
250,71,36,33,120,99,84,48,8,16,4,1,3905436908
251,17,93,26,35,23,6,62,34,14,114,1,3905436925
252,68,105,2,18,22,14,1,34,45,101,0,3905436928
253,5,4,6,81,76,14,8,120,33,74,1,3905436930
254,27,7,99,44,34,14,100,47,35,54,0,3905436931
255,26,54,63,56,75,41,22,82,6,9,1,3905436932
256,12,119,7,107,74,101,21,48,54,11,1,3905436935
257,41,86,35,2,64,70,18,47,87,32,1,3905436936
258,61,34,67,98,36,11,30,21,7,54,1,3905436942
259,2,13,32,22,27,74,14,28,36,48,0,3905436943
260,49,5,67,16,4,20,27,1,68,21,1,3905436965
261,22,63,40,26,23,14,5,4,2,18,0,3905436969
262,104,8,44,75,25,71,39,67,35,49,0,3905436971
263,7,14,23,5,38,70,9,6,41,35,0,3905436974
264,63,62,22,97,76,61,101,1,4,59,1,3905436975
265,8,16,104,21,14,27,114,74,97,72,0,3905436977
266,34,48,45,81,25,74,22,12,7,42,0,3905436978
267,111,18,22,6,59,44,14,21,12,31,0,3905436980
268,12,94,21,31,2,6,18,83,81,64,0,3905436981
269,83,29,59,20,47,18,14,52,9,63,0,3905436983
270,27,71,34,75,2,84,33,23,4,48,1,3905436987
271,14,101,22,41,59,93,27,61,105,103,1,3905436988
272,59,1,20,28,21,26,48,79,2,94,0,3905436989
273,3,73,9,96,81,35,80,84,104,42,1,3905437009
274,108,87,8,32,14,97,42,35,20,44,1,3905437011
275,43,8,51,22,52,1,5,11,85,96,0,3905437012
276,34,53,48,102,27,21,35,8,14,5,1,3905437015
277,63,44,81,5,58,62,16,11,47,19,1,3905437017
278,98,36,10,119,22,86,39,107,42,38,0,3905437018
279,99,11,86,18,10,25,114,81,28,108,0,3905437024
280,17,14,28,32,112,8,21,49,84,76,0,3905437025
281,105,48,119,44,96,42,22,41,43,47,0,3905437027
282,31,90,2,41,74,28,108,8,39,9,0,3905437028
283,56,14,67,100,18,22,26,8,7,9,1,3905437029
284,50,93,69,75,62,47,99,5,96,42,0,3905437042
285,19,7,27,74,49,2,25,64,32,4,1,3905437047
286,3,26,23,79,44,14,18,114,50,25,0,3905437049
287,14,10,101,45,73,23,48,102,47,86,1,3905437051
288,35,27,4,104,69,112,32,61,28,94,1,3905437052
289,88,8,74,75,99,106,4,6,14,20,1,3905437053
290,34,14,49,8,26,32,15,81,22,101,1,3905437054
291,104,76,6,14,17,98,26,23,8,94,1,3905437055
292,97,86,4,74,81,14,35,1,45,23,1,3905437057
293,29,52,49,101,62,35,85,27,93,14,0,3905437060
294,14,35,42,7,59,2,13,100,37,1,0,3905437061
295,97,1,84,70,50,104,5,73,35,103,1,3905437079
296,12,74,9,8,62,93,48,3,35,32,0,3905437082
297,84,114,74,88,31,26,44,11,5,108,0,3905437083
298,4,86,109,91,10,95,48,68,33,2,0,3905437085
299,74,5,47,41,64,86,42,93,76,48,1,3905437087
300,68,65,102,74,42,75,31,97,63,35,1,3905437098
301,28,12,87,35,108,67,14,7,34,22,0,3905437099
302,41,91,97,106,26,104,74,22,84,27,1,3905437100
303,101,21,28,106,82,94,42,14,26,99,0,3905437101
304,57,107,63,94,26,20,17,56,22,5,1,3905437102
305,99,74,21,46,59,38,8,27,2,47,0,3905437120
306,51,113,14,91,35,20,81,26,60,9,0,3905437121
307,14,105,39,113,44,53,58,23,21,93,0,3905437122
308,7,14,25,1,70,26,20,44,93,35,0,3905437128
309,20,23,12,11,16,103,86,18,114,34,0,3905437131
310,49,34,74,41,119,48,35,36,14,28,0,3905437134
311,14,35,104,74,109,63,22,99,11,71,1,3905437136
312,14,63,6,119,36,87,59,48,30,104,1,3905437157
313,1,83,9,26,119,22,20,84,4,68,0,3905437159
314,14,44,5,8,2,32,1,46,22,30,1,3905437165
315,22,44,42,32,7,94,41,16,63,48,1,3905437166
316,107,104,25,15,18,75,63,8,103,112,0,3905437168
